gameid,side,result,teamname,goldat10,xpat10,csat10,goldat20,firsttower,firstdragon,firstherald,firstblood
LOLTMNT02_221667,Blue,1,PSG Talon,15495.0,17866.0,325.0,31777.0,0.0,1.0,0.0,1.0
LOLTMNT02_222679,Blue,1,CTBC Flying Oyster,16679.0,19035.0,341.0,35142.0,0.0,0.0,0.0,1.0
LOLTMNT02_221688,Blue,0,CTBC Flying Oyster,15092.0,19302.0,335.0,32859.0,0.0,0.0,0.0,1.0
LOLTMNT02_221713,Blue,1,CTBC Flying Oyster,17024.0,21070.0,374.0,39830.0,1.0,1.0,1.0,1.0
LOLTMNT02_221724,Red,1,CTBC Flying Oyster,15970.0,18807.0,318.0,34946.0,0.0,1.0,0.0,1.0
LOLTMNT02_222826,Red,1,Gen.G,15702.0,19926.0,373.0,35633.0,1.0,1.0,1.0,1.0
LOLTMNT02_222827,Red,1,Gen.G,15159.0,17473.0,325.0,34311.0,1.0,1.0,0.0,0.0
LOLTMNT02_222830,Red,1,Gen.G,16344.0,19619.0,338.0,37366.0,1.0,1.0,1.0,0.0
LOLTMNT02_222859,Blue,1,PSG Talon,17667.0,19633.0,361.0,40653.0,1.0,0.0,1.0,1.0
LOLTMNT02_221877,Red,0,PSG Talon,17887.0,19376.0,360.0,35186.0,1.0,0.0,1.0,1.0
LOLTMNT02_221883,Blue,1,PSG Talon,16322.0,17612.0,332.0,37292.0,1.0,0.0,1.0,1.0
LOLTMNT02_221893,Red,0,PSG Talon,15709.0,18191.0,310.0,32245.0,0.0,0.0,0.0,1.0
LOLTMNT02_222907,Blue,1,PSG Talon,15394.0,19100.0,336.0,35799.0,1.0,0.0,1.0,1.0
LOLTMNT02_222976,Blue,0,100 Thieves,15732.0,18623.0,336.0,32927.0,0.0,0.0,1.0,0.0
LOLTMNT02_222976,Red,1,FlyQuest,15894.0,18944.0,329.0,35150.0,1.0,1.0,0.0,1.0
LOLTMNT02_221986,Blue,0,FlyQuest,15302.0,18683.0,336.0,33250.0,0.0,0.0,0.0,0.0
LOLTMNT02_221986,Red,1,100 Thieves,15814.0,19369.0,354.0,33738.0,1.0,1.0,1.0,1.0
LOLTMNT02_221993,Blue,1,100 Thieves,15730.0,18521.0,332.0,32254.0,0.0,0.0,1.0,1.0
LOLTMNT02_221993,Red,0,FlyQuest,15099.0,19614.0,332.0,32363.0,1.0,1.0,0.0,0.0
LOLTMNT02_223033,Blue,1,Hanwha Life Esports,15583.0,17684.0,309.0,36001.0,0.0,0.0,1.0,0.0
LOLTMNT02_223033,Red,0,Gen.G,16484.0,19124.0,351.0,36120.0,1.0,1.0,0.0,1.0
LOLTMNT02_223039,Blue,1,Gen.G,16461.0,18341.0,332.0,35443.0,1.0,1.0,1.0,0.0
LOLTMNT02_223039,Red,0,Hanwha Life Esports,15311.0,17060.0,284.0,31822.0,0.0,0.0,0.0,1.0
LOLTMNT02_223046,Blue,1,Hanwha Life Esports,16145.0,18458.0,348.0,34549.0,1.0,0.0,1.0,1.0
LOLTMNT02_223046,Red,0,Gen.G,14550.0,17911.0,322.0,31023.0,0.0,1.0,0.0,0.0
LOLTMNT02_223059,Blue,1,Gen.G,15442.0,17547.0,319.0,35304.0,0.0,0.0,1.0,1.0
LOLTMNT02_223059,Red,0,Hanwha Life Esports,14892.0,18691.0,332.0,35281.0,1.0,1.0,0.0,0.0
LOLTMNT02_223070,Blue,1,Hanwha Life Esports,16545.0,16083.0,298.0,33132.0,1.0,0.0,1.0,1.0
LOLTMNT02_223070,Red,0,Gen.G,15326.0,15556.0,285.0,31236.0,0.0,1.0,0.0,0.0
LOLTMNT02_224092,Blue,0,CTBC Flying Oyster,15203.0,18625.0,321.0,31287.0,0.0,0.0,0.0,0.0
LOLTMNT02_224092,Red,1,PSG Talon,15823.0,18319.0,341.0,36706.0,1.0,1.0,1.0,1.0
LOLTMNT02_224095,Blue,1,CTBC Flying Oyster,17558.0,17938.0,313.0,36781.0,1.0,0.0,0.0,0.0
LOLTMNT02_224095,Red,0,PSG Talon,16370.0,17558.0,316.0,33259.0,0.0,1.0,1.0,1.0
LOLTMNT02_224097,Blue,0,PSG Talon,15364.0,18267.0,322.0,32377.0,1.0,0.0,1.0,1.0
LOLTMNT02_224097,Red,1,CTBC Flying Oyster,15096.0,18466.0,319.0,33892.0,0.0,1.0,0.0,0.0
LOLTMNT02_224106,Blue,0,PSG Talon,15281.0,18524.0,335.0,30047.0,0.0,0.0,0.0,0.0
LOLTMNT02_224106,Red,1,CTBC Flying Oyster,16410.0,19482.0,369.0,38466.0,1.0,1.0,1.0,1.0
LOLTMNT05_113346,Blue,1,Fnatic,16695.0,20687.0,378.0,35098.0,0.0,0.0,0.0,0.0
LOLTMNT05_114349,Red,0,Fnatic,16462.0,19623.0,355.0,34609.0,1.0,1.0,0.0,1.0
